model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,7.73,7.29,9.28,11.45,5.88,13.68,9.33,12.74,4.99,9.89,8.01,10.67,10.89,9.18,12.24,7.02,10.32,8.52,9.88,14.89,9.69,10.70,17.34,7.66
Llama-3.2-3B-Instruct,6.04,11.37,6.87,11.27,2.67,13.75,13.41,11.08,5.94,11.65,8.36,8.19,7.78,8.68,16.33,8.77,7.74,8.95,8.01,11.91,9.56,8.64,14.49,6.65
Llama-3.3-70B-Instruct,5.80,8.45,6.53,10.36,7.49,10.89,8.45,9.59,3.80,7.16,6.62,9.43,8.49,7.69,9.33,6.14,7.74,6.84,5.96,12.90,10.47,5.76,13.52,4.13
Qwen2.5-Coder-7B-Instruct,5.07,5.25,7.90,6.55,9.09,13.29,5.83,10.93,4.99,9.17,4.53,7.44,7.64,10.17,7.00,1.75,1.29,7.59,5.79,11.17,8.27,2.47,13.13,6.55
Qwen2.5-Coder-1.5B-Instruct,3.38,4.96,6.53,8.91,6.42,8.17,8.45,6.45,3.33,6.12,3.83,5.21,7.92,8.68,10.50,4.39,3.87,6.84,5.79,8.68,8.91,4.53,10.74,5.65
Qwen2.5-Coder-32B-Instruct,2.90,6.71,3.78,4.91,4.28,6.87,7.00,5.50,3.80,4.81,4.18,7.69,6.08,6.45,9.62,3.51,3.87,5.06,4.43,11.91,9.04,11.93,7.96,3.43
deepseek-coder-1.3b-instruct,5.31,11.66,4.12,8.36,5.88,10.96,13.70,9.28,1.66,8.13,8.01,6.40,6.36,5.42,12.24,7.89,8.39,7.85,9.20,11.08,6.85,5.76,13.39,5.04
deepseek-coder-6.7b-instruct,1.93,7.29,4.81,6.36,8.02,11.41,7.87,10.85,3.33,8.39,6.97,7.64,9.48,8.13,10.50,7.89,6.45,7.51,6.98,12.07,9.82,4.12,13.65,5.34
deepseek-coder-33b-instruct,5.56,8.16,3.78,3.82,5.35,7.91,9.33,5.90,4.51,6.31,5.23,6.90,7.07,6.40,11.08,7.02,5.81,4.98,5.45,12.07,6.59,4.94,9.44,4.13
CodeQwen1.5-7B-Chat,3.86,9.91,6.53,4.55,4.28,8.82,11.08,6.45,4.28,6.44,5.23,6.90,6.22,6.16,9.33,3.51,7.10,8.86,6.47,10.34,6.07,4.12,10.09,6.75
Qwen2.5-Coder-7B,7.00,5.25,3.78,5.45,2.14,8.50,5.54,6.45,3.80,5.27,8.71,4.71,5.37,3.23,7.87,3.51,5.81,5.32,6.98,5.71,5.43,5.35,9.44,4.44
