model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0.00,6.02,33.33,11.67,33.33,15.64,10.69,16.08,0.00,10.40,6.67,10.34,14.01,11.11,14.72,15.00,20.00,9.36,11.76,14.44,14.04,7.41,17.80,14.29
Llama-3.2-3B-Instruct,0.00,9.64,33.33,11.48,0.00,14.92,8.40,13.81,0.00,12.00,10.00,12.07,9.55,14.81,15.58,0.00,0.00,7.39,11.76,12.27,10.11,0.00,14.88,8.16
Llama-3.3-70B-Instruct,0.00,9.64,0.00,10.56,0.00,12.91,9.16,11.71,0.00,9.60,6.67,11.21,13.38,10.19,11.26,10.00,0.00,4.93,11.76,13.00,14.04,0.00,15.72,4.08
Qwen2.5-Coder-7B-Instruct,7.69,4.82,33.33,6.67,33.33,15.35,4.58,13.11,0.00,13.20,10.00,9.48,12.10,11.11,8.23,0.00,0.00,9.36,5.88,11.19,14.04,0.00,15.30,8.16
Qwen2.5-Coder-1.5B-Instruct,7.69,6.02,33.33,9.07,0.00,9.47,6.87,7.87,0.00,8.40,3.33,7.76,14.01,12.04,10.39,5.00,0.00,8.37,5.88,8.30,14.04,7.41,12.52,0.00
Qwen2.5-Coder-32B-Instruct,0.00,9.64,0.00,5.00,0.00,8.03,6.11,6.82,0.00,8.80,3.33,11.21,8.92,9.26,11.26,10.00,0.00,3.94,5.88,12.64,14.04,11.11,8.07,2.04
deepseek-coder-1.3b-instruct,4.35,12.38,2.98,8.57,12.50,12.61,14.07,12.39,0.00,8.64,3.51,6.09,9.09,5.62,13.10,0.00,14.29,7.81,8.89,11.52,10.81,2.56,14.97,6.72
deepseek-coder-6.7b-instruct,0.00,8.57,6.55,6.52,12.50,13.60,8.54,14.54,0.00,7.50,8.77,7.83,9.09,7.50,10.86,14.29,0.00,7.06,13.33,11.52,10.81,3.85,16.05,5.88
deepseek-coder-33b-instruct,8.70,9.52,4.17,3.91,12.50,8.78,10.05,6.64,100.00,6.36,3.51,9.57,4.55,10.00,10.86,0.00,14.29,5.56,4.44,12.36,10.81,6.41,10.18,7.56
CodeQwen1.5-7B-Chat,5.00,11.02,8.93,0.00,0.00,10.16,12.75,8.59,0.00,7.73,9.52,5.65,7.10,8.11,9.32,0.00,3.33,9.39,4.00,10.33,6.81,1.28,11.62,4.55
Qwen2.5-Coder-7B,0.00,6.02,0.00,5.56,0.00,10.04,6.11,7.69,0.00,7.20,3.33,3.45,5.73,3.70,7.79,5.00,20.00,7.88,17.65,5.05,6.18,3.70,10.85,2.04
