model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0.00,14.29,0.00,0.00,0.00,16.56,6.45,10.42,0.00,5.56,0.00,0.00,40.00,10.71,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,15.98,0.00
Llama-3.2-3B-Instruct,0.00,14.29,0.00,0.00,0.00,12.10,3.23,10.42,0.00,5.56,0.00,0.00,0.00,17.86,0.00,0.00,0.00,13.04,0.00,0.00,0.00,0.00,11.24,0.00
Llama-3.3-70B-Instruct,0.00,14.29,0.00,0.00,0.00,14.65,9.68,22.92,0.00,11.11,0.00,20.00,20.00,3.57,0.00,0.00,0.00,4.35,0.00,0.00,33.33,0.00,18.93,25.00
Qwen2.5-Coder-7B-Instruct,0.00,0.00,0.00,0.00,0.00,24.05,6.45,22.92,0.00,5.56,0.00,0.00,40.00,21.43,0.00,0.00,0.00,17.39,0.00,0.00,50.00,0.00,21.76,25.00
Qwen2.5-Coder-1.5B-Instruct,0.00,0.00,0.00,0.00,0.00,13.29,6.45,8.33,0.00,11.11,0.00,0.00,20.00,10.71,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,16.47,0.00
Qwen2.5-Coder-32B-Instruct,0.00,14.29,0.00,0.00,0.00,12.66,3.23,20.83,0.00,11.11,0.00,0.00,0.00,7.14,0.00,0.00,0.00,4.35,0.00,33.33,0.00,0.00,11.18,25.00
deepseek-coder-1.3b-instruct,0.00,13.04,0.00,0.00,0.00,13.86,13.16,17.20,0.00,5.45,20.00,9.52,0.00,7.14,25.00,0.00,0.00,6.90,0.00,6.90,7.69,0.00,13.39,8.22
deepseek-coder-6.7b-instruct,0.00,0.00,0.00,0.00,100.00,14.85,5.26,17.20,0.00,7.27,40.00,0.00,11.11,14.29,25.00,0.00,0.00,10.34,9.09,10.34,15.38,0.00,16.96,5.48
deepseek-coder-33b-instruct,0.00,0.00,0.00,0.00,100.00,9.41,5.26,7.53,100.00,5.45,20.00,9.52,0.00,28.57,25.00,0.00,20.00,6.90,9.09,24.14,15.38,0.00,15.18,6.85
CodeQwen1.5-7B-Chat,0.00,5.26,0.00,0.00,0.00,12.22,18.75,11.46,0.00,5.36,0.00,10.00,15.38,27.27,0.00,0.00,0.00,10.81,0.00,13.79,11.76,0.00,11.93,0.00
Qwen2.5-Coder-7B,0.00,14.29,0.00,0.00,0.00,9.49,9.68,8.33,0.00,16.67,0.00,0.00,0.00,10.71,0.00,0.00,0.00,17.39,0.00,0.00,0.00,0.00,12.35,0.00
