task_name,lang,model_name,camel_case-pascal_case,camel_case-screaming_snake_case,camel_case-snake_case,double_plus_rparentheses,lparentheses_name,lparentheses_rparentheses,lsquarebracket_name,op_all,op_dash,op_lparentheses,op_lsquarebracket,op_name,op_rsquarebracket,op_semicolon,period_asterisk,period_name,rparentheses_colon,rparentheses_period,rparentheses_rparentheses,rparentheses_semicolon,rsquarebracket_rparentheses,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case
humanevalexplaindescribe-python,python,CodeQwen1.5-7B-Chat,,,,,-4.88,-8.0,-2.56,-3.05,0.0,,-6.45,-6.1,2.0,,,-4.55,-2.1,,-1.89,,0.0,-0.76,-6.11,1.53
humanevalexplaindescribe-python,python,Llama-3.1-8B-Instruct,,,,,-4.27,4.0,-3.85,1.83,4.55,,3.23,-1.83,8.0,,,3.03,-0.7,,-5.66,,6.0,0.0,0.0,0.0
humanevalexplaindescribe-python,python,Llama-3.2-3B-Instruct,,,,,-7.32,-8.0,0.0,-6.1,-4.55,,-3.23,-5.49,-12.0,,,-6.06,-7.69,,-16.98,,4.0,-3.05,-9.92,-7.63
humanevalexplaindescribe-python,python,Llama-3.3-70B-Instruct,,,,,0.61,-12.0,-1.28,-5.49,-9.09,,-3.23,-3.66,4.0,,,-7.58,-0.7,,3.77,,0.0,-1.53,-2.29,-14.5
humanevalexplaindescribe-python,python,Qwen2.5-Coder-1.5B-Instruct,,,,,-1.83,-4.0,0.0,-4.88,-13.64,,-9.68,-1.22,0.0,,,-1.52,0.7,,5.66,,2.0,-0.76,-4.58,-7.63
humanevalexplaindescribe-python,python,Qwen2.5-Coder-32B-Instruct,,,,,4.27,-52.0,3.85,1.22,13.64,,-3.23,3.05,6.0,,,6.06,6.99,,0.0,,-40.0,9.16,8.4,3.05
humanevalexplaindescribe-python,python,Qwen2.5-Coder-7B,,,,,-1.22,0.0,2.56,3.05,-4.55,,-3.23,3.05,12.0,,,0.0,-1.4,,0.0,,-2.0,2.29,0.0,-1.53
humanevalexplaindescribe-python,python,Qwen2.5-Coder-7B-Instruct,,,,,-1.83,-4.0,-3.85,-1.22,0.0,,3.23,-5.49,-4.0,,,-6.06,0.0,,-1.89,,-2.0,1.53,2.29,-3.05
humanevalexplaindescribe-python,python,deepseek-coder-1.3b-instruct,,,,,-4.88,-8.0,-1.28,-4.88,4.55,,-9.68,-7.32,-2.0,,,-4.55,-6.29,,-7.55,,4.0,0.0,-5.34,-7.63
humanevalexplaindescribe-python,python,deepseek-coder-33b-instruct,,,,,0.61,0.0,1.28,-0.61,0.0,,0.0,-2.44,-2.0,,,0.0,0.7,,-7.55,,0.0,2.29,-0.76,0.0
humanevalexplaindescribe-python,python,deepseek-coder-6.7b-instruct,,,,,-6.71,-4.0,5.13,-0.61,13.64,,6.45,-4.88,4.0,,,-6.06,-1.4,,1.89,,-2.0,-2.29,-2.29,-0.76
humanevalexplaindescribe-java,java,CodeQwen1.5-7B-Chat,-3.73,-3.73,-2.99,0.0,-0.61,0.0,,-1.83,,1.49,,-1.83,,-2.44,-4.27,-3.05,,-9.52,-2.86,-1.53,,,,
humanevalexplaindescribe-java,java,Llama-3.1-8B-Instruct,0.0,1.49,2.24,4.0,0.61,0.0,,-4.27,,1.49,,1.22,,-1.22,0.61,0.0,,-2.38,0.0,-0.76,,,,
humanevalexplaindescribe-java,java,Llama-3.2-3B-Instruct,3.73,4.48,3.73,-2.0,2.44,2.44,,-1.83,,-1.49,,3.66,,-1.22,1.22,1.83,,-7.14,2.86,6.11,,,,
humanevalexplaindescribe-java,java,Llama-3.3-70B-Instruct,-2.24,-3.73,-1.49,-2.0,-1.83,-4.07,,8.54,,4.48,,6.1,,2.44,3.66,7.93,,-7.14,1.9,-3.05,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-1.5B-Instruct,6.72,6.72,3.73,6.0,3.05,5.69,,1.83,,0.0,,3.05,,0.61,1.83,1.83,,4.76,0.95,4.58,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-32B-Instruct,-1.49,-8.96,-0.75,2.0,-0.61,0.0,,-3.66,,-1.49,,-2.44,,-21.34,-0.61,-3.05,,-2.38,0.0,0.76,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-7B,3.73,1.49,5.22,2.0,4.27,1.63,,-1.22,,4.48,,0.61,,6.1,0.61,3.66,,2.38,2.86,1.53,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-7B-Instruct,0.0,-1.49,0.75,2.0,-0.61,-1.63,,2.44,,2.99,,-0.61,,-3.05,1.83,0.0,,-7.14,-4.76,0.76,,,,
humanevalexplaindescribe-java,java,deepseek-coder-1.3b-instruct,-2.24,-1.49,-1.49,4.0,-4.27,-0.81,,-4.88,,-1.49,,-4.88,,-2.44,-1.83,-1.83,,-9.52,-1.9,-4.58,,,,
humanevalexplaindescribe-java,java,deepseek-coder-33b-instruct,0.0,-0.75,0.75,6.0,3.66,0.81,,0.0,,2.99,,1.83,,4.88,0.0,1.22,,4.76,0.95,3.82,,,,
humanevalexplaindescribe-java,java,deepseek-coder-6.7b-instruct,1.49,-5.22,-2.24,-4.0,-0.61,0.0,,-5.49,,1.49,,-5.49,,-2.44,-3.66,-3.66,,-2.38,-2.86,-3.82,,,,
humanevalfixtests-python,python,CodeQwen1.5-7B-Chat,,,,,0.0,-4.17,0.0,4.27,0.0,,-3.45,0.0,-2.08,,,-1.54,2.1,,-6.25,,-2.08,-1.53,0.0,0.0
humanevalfixtests-python,python,Llama-3.1-8B-Instruct,,,,,4.27,0.0,3.85,4.27,-4.55,,0.0,4.27,2.08,,,-3.08,5.59,,12.5,,-2.08,3.82,6.87,4.58
humanevalfixtests-python,python,Llama-3.2-3B-Instruct,,,,,7.32,0.0,3.85,4.27,4.55,,3.45,7.32,2.08,,,4.62,4.2,,4.17,,2.08,6.11,0.0,3.05
humanevalfixtests-python,python,Llama-3.3-70B-Instruct,,,,,2.44,-8.33,-1.28,4.88,0.0,,0.0,1.83,-2.08,,,-1.54,1.4,,2.08,,6.25,0.0,0.76,0.0
humanevalfixtests-python,python,Qwen2.5-Coder-1.5B-Instruct,,,,,-0.61,0.0,0.0,-1.22,0.0,,3.45,-1.83,2.08,,,-3.08,-1.4,,0.0,,-2.08,-5.34,-2.29,0.0
humanevalfixtests-python,python,Qwen2.5-Coder-32B-Instruct,,,,,-1.83,4.17,0.0,-1.83,0.0,,0.0,-1.83,0.0,,,0.0,0.0,,2.08,,-4.17,-0.76,-0.76,0.0
humanevalfixtests-python,python,Qwen2.5-Coder-7B,,,,,4.27,0.0,1.28,10.37,0.0,,0.0,6.71,0.0,,,0.0,7.69,,0.0,,4.17,0.0,0.0,0.0
humanevalfixtests-python,python,Qwen2.5-Coder-7B-Instruct,,,,,-1.83,-4.17,-1.28,0.0,-4.55,,0.0,-1.83,-4.17,,,-3.08,0.0,,-2.08,,-2.08,-0.76,0.76,0.76
humanevalfixtests-python,python,deepseek-coder-1.3b-instruct,,,,,0.61,8.33,0.0,1.83,0.0,,-3.45,-1.22,-2.08,,,-4.62,5.59,,-4.17,,-2.08,-2.29,-3.05,-3.05
humanevalfixtests-python,python,deepseek-coder-33b-instruct,,,,,1.22,12.5,-1.28,5.49,0.0,,0.0,2.44,-2.08,,,3.08,2.1,,4.17,,-2.08,-1.53,2.29,0.76
humanevalfixtests-python,python,deepseek-coder-6.7b-instruct,,,,,3.05,-4.17,1.28,4.88,0.0,,0.0,3.66,0.0,,,3.08,3.5,,0.0,,0.0,0.76,0.0,-3.05
humanevalfixtests-java,java,CodeQwen1.5-7B-Chat,-1.49,-2.99,-1.49,0.0,-0.61,-0.81,,-4.27,,0.0,,0.0,,0.61,-0.61,1.22,,-2.38,1.0,-0.77,,,,
humanevalfixtests-java,java,Llama-3.1-8B-Instruct,0.75,-0.75,0.75,-2.04,-7.93,-4.88,,-22.56,,0.0,,-15.85,,-2.44,-7.32,-13.41,,0.0,-3.0,-2.31,,,,
humanevalfixtests-java,java,Llama-3.2-3B-Instruct,1.49,1.49,0.75,0.0,-3.66,-2.44,,-7.32,,3.08,,-7.32,,1.83,-1.22,-1.83,,0.0,0.0,1.54,,,,
humanevalfixtests-java,java,Llama-3.3-70B-Instruct,1.49,-0.75,1.49,4.08,1.83,-1.63,,7.93,,-1.54,,4.27,,3.66,4.27,4.27,,-4.76,-1.0,-3.08,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-1.5B-Instruct,2.24,1.49,3.73,4.08,1.22,-3.25,,2.44,,1.54,,1.83,,2.44,-1.83,-1.22,,0.0,-1.0,1.54,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-32B-Instruct,-1.49,0.75,0.75,0.0,1.22,2.44,,0.0,,1.54,,-2.44,,-1.83,-1.22,0.0,,2.38,0.0,1.54,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-7B,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,
humanevalfixtests-java,java,Qwen2.5-Coder-7B-Instruct,2.24,4.48,5.22,0.0,3.05,0.81,,-4.88,,4.62,,0.61,,1.83,1.83,0.61,,4.76,5.0,0.77,,,,
humanevalfixtests-java,java,deepseek-coder-1.3b-instruct,0.75,-1.49,-2.24,0.0,-0.61,-4.88,,-6.1,,-1.54,,-3.66,,1.83,-2.44,-3.66,,-4.76,-1.0,-0.77,,,,
humanevalfixtests-java,java,deepseek-coder-33b-instruct,-2.99,-4.48,-2.24,4.08,3.66,-0.81,,1.22,,-1.54,,1.22,,3.05,0.0,2.44,,0.0,-4.0,-1.54,,,,
humanevalfixtests-java,java,deepseek-coder-6.7b-instruct,2.24,1.49,-0.75,-2.04,1.22,1.63,,-0.61,,0.0,,0.61,,0.0,0.0,0.61,,11.9,2.0,0.77,,,,
avatartranslate-python2java,python,CodeQwen1.5-7B-Chat,,,,,-1.65,-3.28,-1.28,-0.82,-6.25,,-1.72,-2.46,-1.72,,,-0.48,0.0,,-1.33,,-1.11,1.96,1.96,-1.96
avatartranslate-python2java,python,Llama-3.1-8B-Instruct,,,,,-0.41,-0.41,-1.92,-3.28,6.25,,0.0,-0.41,2.59,,,0.48,-1.04,,0.0,,0.0,1.96,0.0,-1.96
avatartranslate-python2java,python,Llama-3.2-3B-Instruct,,,,,0.41,-0.41,-1.28,-3.28,3.12,,1.72,-0.82,-0.86,,,-0.96,-2.08,,-0.44,,1.11,1.96,0.0,0.0
avatartranslate-python2java,python,Llama-3.3-70B-Instruct,,,,,-2.06,-1.23,-1.92,-4.1,-3.12,,-1.72,-2.87,-3.45,,,-2.87,0.0,,-1.33,,-1.11,0.0,-1.96,-5.88
avatartranslate-python2java,python,Qwen2.5-Coder-1.5B-Instruct,,,,,0.0,-1.64,0.0,-2.46,3.12,,1.72,-0.82,0.0,,,-0.48,0.52,,-1.33,,1.11,1.96,-5.88,0.0
avatartranslate-python2java,python,Qwen2.5-Coder-32B-Instruct,,,,,-0.41,-0.41,-0.64,-1.23,0.0,,0.0,-0.41,0.86,,,-0.96,0.52,,0.89,,-2.22,0.0,1.96,0.0
avatartranslate-python2java,python,Qwen2.5-Coder-7B,,,,,-0.82,-0.41,-0.64,0.41,3.12,,-5.17,-0.82,-2.59,,,-1.91,1.04,,-2.22,,-3.33,-1.96,0.0,1.96
avatartranslate-python2java,python,Qwen2.5-Coder-7B-Instruct,,,,,0.41,-1.23,-2.56,-2.05,0.0,,0.0,-1.64,-1.72,,,-1.91,-2.6,,1.33,,1.11,7.84,0.0,1.96
avatartranslate-python2java,python,deepseek-coder-1.3b-instruct,,,,,-0.41,-0.82,0.0,-3.69,0.0,,-5.17,-0.82,0.86,,,-0.96,0.0,,0.44,,2.22,0.0,1.96,-9.8
avatartranslate-python2java,python,deepseek-coder-33b-instruct,,,,,-2.47,-2.05,-2.56,-3.69,-6.25,,-3.45,-3.28,-3.45,,,-2.87,-4.17,,-0.89,,-3.33,3.92,5.88,-5.88
avatartranslate-python2java,python,deepseek-coder-6.7b-instruct,,,,,0.0,-0.41,0.0,-2.46,3.12,,-1.72,-1.23,0.86,,,1.44,0.0,,-0.89,,0.0,-1.96,0.0,-1.96
avatartranslate-java2python,java,CodeQwen1.5-7B-Chat,3.9,-1.3,-2.6,-1.69,0.0,-2.85,,-1.63,,0.96,,-3.25,,1.63,-2.36,-1.22,,0.0,1.23,-1.22,,,,
avatartranslate-java2python,java,Llama-3.1-8B-Instruct,1.35,6.76,0.0,0.0,-2.03,-2.44,,-7.32,,-0.96,,-5.69,,1.22,-3.15,-6.5,,0.0,-1.23,2.03,,,,
avatartranslate-java2python,java,Llama-3.2-3B-Instruct,0.0,-1.35,0.0,1.12,-2.85,-4.07,,-6.1,,-3.85,,-4.07,,-2.85,1.57,-2.44,,-2.08,-1.84,-1.22,,,,
avatartranslate-java2python,java,Llama-3.3-70B-Instruct,-1.35,0.0,2.7,0.56,-1.63,-3.25,,-5.28,,1.92,,-4.88,,-3.25,0.0,-2.44,,-4.17,-0.61,0.0,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-1.5B-Instruct,1.35,9.46,1.35,-1.12,-1.22,-4.07,,-2.44,,-3.85,,1.63,,-0.41,-3.15,-1.22,,8.33,-0.61,0.0,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-32B-Instruct,4.05,0.0,1.35,1.12,3.66,2.03,,0.81,,0.96,,1.63,,3.25,-1.57,0.81,,-2.08,-3.07,0.81,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-7B,-4.05,-5.41,0.0,-1.69,-4.47,-4.47,,-6.5,,-2.88,,-5.28,,-2.85,0.79,-5.69,,0.0,-1.84,-3.25,,,,
avatartranslate-java2python,java,Qwen2.5-Coder-7B-Instruct,0.0,5.41,-2.7,-2.25,0.41,0.0,,0.81,,0.0,,-2.03,,-0.81,0.79,0.0,,-6.25,0.61,-1.63,,,,
avatartranslate-java2python,java,deepseek-coder-1.3b-instruct,6.49,3.9,0.0,0.0,-1.22,1.22,,-6.91,,-0.96,,-4.07,,1.22,-1.57,-3.25,,-2.08,0.0,0.0,,,,
avatartranslate-java2python,java,deepseek-coder-33b-instruct,2.6,1.3,2.6,1.12,0.81,1.22,,-1.63,,0.96,,2.85,,-1.22,2.36,3.25,,0.0,-0.61,-0.41,,,,
avatartranslate-java2python,java,deepseek-coder-6.7b-instruct,-3.9,-7.79,-2.6,-1.69,-1.63,-3.66,,-7.32,,1.92,,-3.66,,-3.66,-5.51,-4.07,,-2.08,0.0,-2.03,,,,
codenettranslate-python2java,python,CodeQwen1.5-7B-Chat,,,,,1.56,-4.0,1.96,-2.5,0.0,,-2.7,1.53,1.37,,,0.0,1.83,,-0.54,,0.0,6.67,3.33,-3.33
codenettranslate-python2java,python,Llama-3.1-8B-Instruct,,,,,0.52,-2.5,-0.98,-1.0,5.26,,13.51,0.51,-1.37,,,1.27,0.92,,-0.54,,7.27,10.0,-3.33,3.33
codenettranslate-python2java,python,Llama-3.2-3B-Instruct,,,,,3.65,0.0,5.88,-1.0,2.63,,8.11,4.59,2.74,,,1.9,3.67,,-0.54,,1.82,6.67,3.33,-6.67
codenettranslate-python2java,python,Llama-3.3-70B-Instruct,,,,,0.0,1.5,-0.98,0.0,0.0,,0.0,-0.51,2.74,,,0.0,0.0,,1.08,,0.0,3.33,0.0,0.0
codenettranslate-python2java,python,Qwen2.5-Coder-1.5B-Instruct,,,,,-2.08,-2.5,0.0,-1.0,2.63,,-2.7,-1.53,0.0,,,-1.9,0.0,,-0.54,,-3.64,0.0,3.33,0.0
codenettranslate-python2java,python,Qwen2.5-Coder-32B-Instruct,,,,,0.52,-1.5,0.0,-2.0,2.63,,-2.7,1.02,2.74,,,-0.63,-0.92,,0.0,,1.82,6.67,3.33,3.33
codenettranslate-python2java,python,Qwen2.5-Coder-7B,,,,,-2.6,-1.5,-4.9,-2.5,-5.26,,-2.7,-3.57,-2.74,,,0.0,-1.83,,-2.7,,-1.82,0.0,3.33,6.67
codenettranslate-python2java,python,Qwen2.5-Coder-7B-Instruct,,,,,-3.12,-0.5,-0.98,-2.0,2.63,,2.7,-2.04,4.11,,,-2.53,0.92,,1.08,,1.82,-3.33,-6.67,6.67
codenettranslate-python2java,python,deepseek-coder-1.3b-instruct,,,,,-0.52,2.0,-2.94,-2.0,-5.26,,-5.41,-0.51,-2.74,,,1.9,-0.92,,0.54,,-5.45,-3.33,-16.67,-3.33
codenettranslate-python2java,python,deepseek-coder-33b-instruct,,,,,-2.08,-1.5,-2.94,-2.5,-5.26,,-2.7,-3.06,-6.85,,,-1.9,-3.67,,-2.16,,-3.64,-3.33,-10.0,-6.67
codenettranslate-python2java,python,deepseek-coder-6.7b-instruct,,,,,0.52,0.5,0.98,0.0,2.63,,8.11,-3.06,4.11,,,-1.9,-1.83,,1.08,,1.82,0.0,0.0,0.0
codenettranslate-java2python,java,CodeQwen1.5-7B-Chat,-1.64,-3.28,0.0,-3.47,-1.0,-5.0,,-8.5,,-5.45,,-4.0,,-4.0,-2.11,-2.5,,-1.82,0.88,-4.0,,,,
codenettranslate-java2python,java,Llama-3.1-8B-Instruct,1.64,3.28,-1.64,0.0,-0.5,-2.0,,-1.0,,-1.82,,-3.5,,1.0,-2.11,-5.5,,0.0,0.88,5.0,,,,
codenettranslate-java2python,java,Llama-3.2-3B-Instruct,-9.84,-4.92,-1.64,-1.39,0.0,-3.5,,-8.5,,-1.82,,-5.0,,-3.0,0.0,-2.5,,1.82,2.65,-1.0,,,,
codenettranslate-java2python,java,Llama-3.3-70B-Instruct,-1.64,-3.28,0.0,-1.39,-3.0,-4.5,,-8.5,,-1.82,,-7.0,,-5.5,-2.11,-7.0,,-1.82,-4.42,-4.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-1.5B-Instruct,0.0,-4.92,3.28,0.69,3.0,-2.0,,1.5,,0.0,,2.0,,2.5,3.16,0.5,,0.0,0.0,2.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-32B-Instruct,1.64,1.64,-3.28,3.47,1.0,-1.0,,1.5,,-3.64,,0.5,,2.0,-2.11,1.0,,1.82,0.0,2.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-7B,1.64,-4.92,0.0,1.39,-1.5,-1.0,,1.0,,1.82,,0.0,,2.5,2.11,1.0,,-1.82,0.0,3.0,,,,
codenettranslate-java2python,java,Qwen2.5-Coder-7B-Instruct,0.0,-4.92,-6.56,-1.39,-2.5,-1.5,,-4.0,,-7.27,,-5.0,,-4.0,-1.05,-3.0,,-1.82,-0.88,-3.0,,,,
codenettranslate-java2python,java,deepseek-coder-1.3b-instruct,1.64,0.0,1.64,-0.69,-2.5,-0.5,,0.0,,-1.82,,0.0,,-0.5,-3.16,4.0,,-3.64,-4.42,-1.0,,,,
codenettranslate-java2python,java,deepseek-coder-33b-instruct,3.28,-1.64,-3.28,0.0,-2.0,-0.5,,-3.0,,-1.82,,0.0,,-0.5,0.0,1.0,,3.64,0.88,-2.0,,,,
codenettranslate-java2python,java,deepseek-coder-6.7b-instruct,-1.64,-3.28,1.64,1.39,-0.5,0.0,,-5.0,,1.82,,-3.0,,-1.5,2.11,-2.5,,3.64,2.65,1.0,,,,
average,average,average,0.38,-0.62,0.08,0.46,-0.39,-1.88,-0.26,-1.7,0.13,-0.15,-0.63,-1.21,0.12,-0.63,-0.6,-1.06,0.21,-0.89,-0.47,-0.17,-0.9,1.01,-0.73,-1.33
max,max,max,6.72,9.46,5.22,6.0,7.32,12.5,5.88,10.37,13.64,4.62,13.51,7.32,12.0,6.1,4.27,7.93,7.69,11.9,12.5,6.11,7.27,10.0,8.4,6.67
