model_name,baseline,camel_case-snake_case,camel_case-pascal_case,camel_case-screaming_snake_case,rparentheses_semicolon,period_name,lparentheses_rparentheses,lparentheses_name,rparentheses_rparentheses,period_asterisk,double_plus_rparentheses,rparentheses_period,op_semicolon,op_lparentheses,op_name,op_all
Llama-3.1-8B-Instruct,69.9,70.03,70.28,70.41,71.83,66.15,68.09,68.48,69.38,68.99,69.12,70.54,70.41,69.25,66.8,65.76
Llama-3.2-3B-Instruct,65.37,65.25,65.5,66.28,66.41,67.05,64.21,65.37,66.93,66.15,65.37,66.15,64.99,65.37,64.99,61.5
Llama-3.3-70B-Instruct,78.42,78.04,77.78,77.52,76.74,75.97,75.45,77.26,77.52,78.68,78.17,77.78,77.39,78.81,76.1,77.13
Qwen2.5-Coder-1.5B-Instruct,61.63,61.89,61.76,62.02,62.4,59.69,59.82,61.63,61.11,60.72,61.89,62.27,61.63,61.63,61.89,59.82
Qwen2.5-Coder-32B-Instruct,84.24,84.24,84.37,82.82,84.63,84.88,83.85,84.75,83.33,83.07,84.24,83.98,79.84,84.37,84.63,83.72
Qwen2.5-Coder-7B-Instruct,73.64,73.39,74.29,73.77,73.9,74.16,73.39,73.13,73.13,73.9,72.61,73.64,73.39,73.51,72.09,73.77
deepseek-coder-1.3b-instruct,71.71,72.87,73.0,72.09,72.48,72.22,73.26,73.0,72.87,71.45,73.13,71.32,73.13,72.61,73.0,71.45
deepseek-coder-33b-instruct,76.61,76.87,76.61,76.36,75.84,77.52,76.49,76.61,76.49,76.74,76.87,76.87,75.58,76.49,77.13,75.06
deepseek-coder-6.7b-instruct,79.33,79.59,79.46,78.94,79.46,78.42,78.94,80.23,79.72,79.84,79.07,79.72,79.84,79.72,78.94,77.39
average,73.43,73.57,73.67,73.36,73.74,72.9,72.61,73.38,73.39,73.28,73.39,73.59,72.91,73.53,72.84,71.73
max,84.24,84.24,84.37,82.82,84.63,84.88,83.85,84.75,83.33,83.07,84.24,83.98,79.84,84.37,84.63,83.72
