model_name,baseline,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case,lparentheses_name,lparentheses_rparentheses,rparentheses_colon,rparentheses_rparentheses,lsquarebracket_name,period_name,rsquarebracket_rparentheses,op_lsquarebracket,op_rsquarebracket,op_dash,op_name,op_all
Llama-3.1-8B-Instruct,75.0,75.39,74.74,74.48,73.32,74.35,73.58,73.83,74.61,75.39,75.91,75.52,75.39,75.65,73.7,74.74
Llama-3.2-3B-Instruct,64.38,64.25,62.95,63.47,63.73,64.38,63.73,63.73,64.51,64.25,64.9,64.77,63.86,64.51,63.73,61.53
Llama-3.3-70B-Instruct,83.03,83.16,82.77,80.57,83.03,83.29,83.55,83.55,82.64,81.87,82.9,83.03,82.9,82.64,81.87,81.09
Qwen2.5-Coder-1.5B-Instruct,62.44,61.92,61.4,60.75,60.23,60.1,62.95,62.18,62.69,61.01,62.69,62.31,61.79,62.05,60.1,59.46
Qwen2.5-Coder-32B-Instruct,88.6,90.28,90.28,89.25,89.64,86.53,90.03,88.6,89.12,88.73,86.01,88.47,89.25,89.12,89.64,88.34
Qwen2.5-Coder-7B-Instruct,82.12,82.64,82.38,82.12,80.83,81.22,82.12,82.64,81.09,80.05,82.51,82.77,81.87,82.25,79.79,80.7
deepseek-coder-1.3b-instruct,72.67,72.28,71.76,70.34,71.76,72.28,71.24,71.89,71.89,72.41,72.28,71.63,72.02,72.41,71.5,71.11
deepseek-coder-33b-instruct,84.46,84.84,84.46,83.94,84.97,83.94,84.33,83.42,84.33,84.46,84.2,84.2,83.55,84.2,83.68,84.2
deepseek-coder-6.7b-instruct,81.74,81.61,81.48,81.48,79.79,81.09,81.87,81.22,82.51,80.44,81.74,81.99,81.99,82.25,79.27,80.31
average,77.16,77.37,76.91,76.27,76.37,76.35,77.04,76.78,77.04,76.51,77.02,77.19,76.96,77.23,75.92,75.72
max,88.6,90.28,90.28,89.25,89.64,86.53,90.03,88.6,89.12,88.73,86.01,88.47,89.25,89.12,89.64,88.34
