model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
Llama-3.2-3B-Instruct,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
Llama-3.3-70B-Instruct,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
Qwen2.5-Coder-7B-Instruct,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
Qwen2.5-Coder-1.5B-Instruct,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
Qwen2.5-Coder-32B-Instruct,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
deepseek-coder-1.3b-instruct,414,343,291,550,187,1542,343,1272,421,1537,287,406,707,406,343,114,155,1185,587,406,774,243,1546,992
deepseek-coder-6.7b-instruct,414,343,291,550,187,1542,343,1272,421,1537,287,406,707,406,343,114,155,1185,587,406,774,243,1546,992
deepseek-coder-33b-instruct,414,343,291,550,187,1542,343,1272,421,1537,287,406,707,406,343,114,155,1185,587,406,774,243,1546,992
CodeQwen1.5-7B-Chat,414,343,291,550,187,1542,343,1272,421,1537,287,406,707,406,343,114,155,1185,587,406,774,243,1546,992
Qwen2.5-Coder-7B,414,343,291,550,187,1542,343,1272,421,1537,287,403,707,403,343,114,155,1185,587,403,774,243,1546,992
