model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
Llama-3.2-3B-Instruct,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
Llama-3.3-70B-Instruct,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
Qwen2.5-Coder-7B-Instruct,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
Qwen2.5-Coder-1.5B-Instruct,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
Qwen2.5-Coder-32B-Instruct,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
deepseek-coder-1.3b-instruct,13,6,1,0,7,124,7,41,0,138,6,90,12,17,0,7,3,0,34,3,24,22,142,34
deepseek-coder-6.7b-instruct,13,6,1,0,7,124,7,41,0,138,6,90,12,17,0,7,3,0,34,3,24,22,142,34
deepseek-coder-33b-instruct,13,6,1,0,7,124,7,41,0,138,6,90,12,17,0,7,3,0,34,3,24,22,142,34
CodeQwen1.5-7B-Chat,13,4,1,0,5,162,5,50,0,184,3,111,10,15,1,5,22,9,20,0,18,23,174,26
Qwen2.5-Coder-7B,12,55,3,0,3,132,33,23,0,216,15,16,2,1,0,8,7,11,15,0,5,14,154,40
