model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0,7,0,0,0,157,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,169,4
Llama-3.2-3B-Instruct,0,7,0,0,0,157,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,169,4
Llama-3.3-70B-Instruct,0,7,0,0,0,157,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,169,4
Qwen2.5-Coder-7B-Instruct,1,7,0,0,0,158,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,170,4
Qwen2.5-Coder-1.5B-Instruct,1,7,0,0,0,158,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,170,4
Qwen2.5-Coder-32B-Instruct,1,7,0,0,0,158,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,170,4
deepseek-coder-1.3b-instruct,0,23,0,0,1,202,38,93,1,55,5,21,9,14,4,0,5,29,11,29,13,3,224,73
deepseek-coder-6.7b-instruct,0,23,0,0,1,202,38,93,1,55,5,21,9,14,4,0,5,29,11,29,13,3,224,73
deepseek-coder-33b-instruct,0,23,0,0,1,202,38,93,1,55,5,21,9,14,4,0,5,29,11,29,13,3,224,73
CodeQwen1.5-7B-Chat,0,19,0,0,1,270,32,157,0,56,4,10,13,11,13,0,2,37,5,29,17,2,285,6
Qwen2.5-Coder-7B,1,7,0,0,0,158,31,48,0,18,0,5,5,28,0,1,2,23,0,3,6,2,170,4
