model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,1,21,0,540,0,408,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,396,5
Llama-3.2-3B-Instruct,1,21,0,540,0,408,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,396,5
Llama-3.3-70B-Instruct,1,21,0,540,0,408,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,396,5
Qwen2.5-Coder-7B-Instruct,0,21,0,540,0,407,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,395,5
Qwen2.5-Coder-1.5B-Instruct,0,21,0,540,0,407,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,395,5
Qwen2.5-Coder-32B-Instruct,0,21,0,540,0,407,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,395,5
deepseek-coder-1.3b-instruct,10,76,167,537,0,483,154,423,0,247,46,4,1,129,309,0,6,637,0,324,0,53,469,12
deepseek-coder-6.7b-instruct,10,76,167,537,0,483,154,423,0,247,46,4,1,129,309,0,6,637,0,324,0,53,469,12
deepseek-coder-33b-instruct,10,76,167,537,0,483,154,423,0,247,46,4,1,129,309,0,6,637,0,324,0,53,469,12
CodeQwen1.5-7B-Chat,7,104,167,0,0,405,167,375,0,174,56,3,160,122,308,0,6,540,0,339,156,53,393,12
Qwen2.5-Coder-7B,0,21,0,540,0,407,67,501,1,16,15,95,150,79,231,11,1,169,2,274,167,11,395,5
