model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0.00,3.64,33.33,0.00,33.33,13.64,9.09,17.39,0.00,10.65,0.00,25.00,0.00,0.00,0.00,12.50,14.29,9.09,13.33,0.00,20.00,7.14,17.53,12.50
Llama-3.2-3B-Instruct,0.00,9.09,33.33,0.00,0.00,12.12,12.12,0.00,0.00,12.96,20.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,13.33,0.00,20.00,0.00,11.69,10.00
Llama-3.3-70B-Instruct,0.00,10.91,0.00,0.00,0.00,12.12,9.09,13.04,0.00,9.72,6.67,6.25,0.00,0.00,0.00,0.00,0.00,9.09,13.33,0.00,0.00,0.00,13.64,2.50
Qwen2.5-Coder-7B-Instruct,8.33,5.45,33.33,0.00,33.33,15.15,3.03,13.04,0.00,13.89,6.67,12.50,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,20.00,0.00,12.99,7.50
Qwen2.5-Coder-1.5B-Instruct,8.33,7.27,33.33,0.00,0.00,9.85,12.12,8.70,0.00,8.33,0.00,6.25,0.00,0.00,0.00,12.50,0.00,0.00,6.67,0.00,20.00,14.29,9.74,0.00
Qwen2.5-Coder-32B-Instruct,0.00,10.91,0.00,0.00,0.00,8.33,12.12,0.00,0.00,9.26,6.67,12.50,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,20.00,7.14,9.09,0.00
deepseek-coder-1.3b-instruct,7.69,16.67,0.00,0.00,14.29,8.87,0.00,4.88,0.00,7.97,0.00,5.56,16.67,0.00,0.00,0.00,33.33,0.00,11.76,0.00,12.50,4.55,10.56,2.94
deepseek-coder-6.7b-instruct,0.00,0.00,100.00,0.00,0.00,11.29,0.00,12.20,0.00,7.97,0.00,8.89,8.33,5.88,0.00,14.29,0.00,0.00,14.71,0.00,8.33,4.55,14.08,5.88
deepseek-coder-33b-instruct,15.38,16.67,0.00,0.00,0.00,6.45,42.86,4.88,0.00,5.80,0.00,8.89,0.00,5.88,0.00,0.00,0.00,0.00,2.94,0.00,8.33,9.09,7.75,8.82
CodeQwen1.5-7B-Chat,7.69,0.00,100.00,0.00,0.00,9.88,0.00,10.00,0.00,9.24,33.33,5.41,0.00,6.67,0.00,0.00,4.55,11.11,5.00,0.00,0.00,4.35,10.34,7.69
Qwen2.5-Coder-7B,0.00,3.64,0.00,0.00,0.00,12.12,0.00,17.39,0.00,6.02,0.00,0.00,0.00,0.00,0.00,0.00,28.57,0.00,20.00,0.00,0.00,7.14,11.69,2.50
