model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0.00,9.52,0.00,11.67,0.00,15.93,13.43,16.57,0.00,12.50,13.33,8.42,13.33,11.39,14.72,18.18,100.00,10.65,0.00,14.60,13.17,9.09,18.69,40.00
Llama-3.2-3B-Instruct,0.00,9.52,0.00,11.48,0.00,16.91,8.96,14.77,0.00,6.25,0.00,12.63,10.00,13.92,15.58,0.00,0.00,7.10,0.00,12.41,10.18,0.00,17.68,0.00
Llama-3.3-70B-Instruct,0.00,4.76,0.00,10.56,0.00,12.50,8.96,10.58,0.00,6.25,6.67,11.58,13.33,12.66,11.26,18.18,0.00,4.73,0.00,13.14,13.77,0.00,15.15,0.00
Qwen2.5-Coder-7B-Instruct,0.00,4.76,0.00,6.67,0.00,12.04,4.48,12.18,0.00,12.50,13.33,9.47,11.33,7.59,8.23,0.00,0.00,8.88,0.00,11.31,12.57,0.00,13.42,0.00
Qwen2.5-Coder-1.5B-Instruct,0.00,4.76,0.00,9.07,0.00,7.86,4.48,7.78,0.00,6.25,6.67,8.42,14.00,12.66,10.39,0.00,0.00,9.47,0.00,8.39,14.37,0.00,11.90,0.00
Qwen2.5-Coder-32B-Instruct,0.00,4.76,0.00,5.00,0.00,6.14,4.48,5.79,0.00,0.00,0.00,11.58,9.33,10.13,11.26,18.18,0.00,4.14,0.00,12.41,14.37,18.18,6.33,0.00
deepseek-coder-1.3b-instruct,0.00,11.84,2.99,8.57,0.00,13.04,14.94,12.06,0.00,9.72,2.17,0.00,0.00,6.20,12.94,0.00,16.67,7.85,0.00,12.04,0.00,1.89,17.06,8.33
deepseek-coder-6.7b-instruct,0.00,11.84,5.99,6.52,0.00,13.66,9.74,14.18,0.00,7.29,6.52,25.00,0.00,6.98,10.68,0.00,0.00,6.91,0.00,11.73,0.00,3.77,16.20,8.33
deepseek-coder-33b-instruct,0.00,11.84,4.19,3.91,0.00,9.11,9.74,6.62,0.00,6.88,2.17,25.00,100.00,8.53,10.68,0.00,16.67,5.49,0.00,11.42,0.00,5.66,8.53,8.33
CodeQwen1.5-7B-Chat,0.00,12.50,8.38,0.00,0.00,8.89,11.98,7.20,0.00,6.90,8.93,0.00,6.88,6.56,9.74,0.00,0.00,9.26,0.00,10.03,7.05,0.00,11.96,0.00
Qwen2.5-Coder-7B,0.00,9.52,0.00,5.56,0.00,9.58,7.46,7.19,0.00,12.50,6.67,4.21,6.00,1.27,7.79,9.09,0.00,7.10,0.00,5.11,6.59,0.00,9.87,0.00
