task_name,lang,model_name,baseline,camel_case-pascal_case,camel_case-screaming_snake_case,camel_case-snake_case,double_plus_rparentheses,lparentheses_name,lparentheses_rparentheses,lsquarebracket_name,op_all,op_dash,op_lparentheses,op_lsquarebracket,op_name,op_rsquarebracket,op_semicolon,period_asterisk,period_name,rparentheses_colon,rparentheses_period,rparentheses_rparentheses,rparentheses_semicolon,rsquarebracket_rparentheses,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case
humanevalexplaindescribe-python,python,CodeQwen1.5-7B-Chat,71.34,,,,,66.46,70.12,70.12,68.29,71.34,,70.12,65.24,71.95,,,69.51,69.51,,70.73,,71.34,70.73,66.46,72.56
humanevalexplaindescribe-python,python,Llama-3.1-8B-Instruct,50.0,,,,,45.73,50.61,48.17,51.83,50.61,,50.61,48.17,52.44,,,51.22,49.39,,48.17,,51.83,50.0,50.0,50.0
humanevalexplaindescribe-python,python,Llama-3.2-3B-Instruct,42.07,,,,,34.76,40.85,42.07,35.98,41.46,,41.46,36.59,38.41,,,39.63,35.37,,36.59,,43.29,39.63,34.15,35.98
humanevalexplaindescribe-python,python,Llama-3.3-70B-Instruct,56.1,,,,,56.71,54.27,55.49,50.61,54.88,,55.49,52.44,57.32,,,53.05,55.49,,57.32,,56.1,54.88,54.27,44.51
humanevalexplaindescribe-python,python,Qwen2.5-Coder-1.5B-Instruct,55.49,,,,,53.66,54.88,55.49,50.61,53.66,,53.66,54.27,55.49,,,54.88,56.1,,57.32,,56.1,54.88,51.83,49.39
humanevalexplaindescribe-python,python,Qwen2.5-Coder-32B-Instruct,76.22,,,,,80.49,68.29,78.05,77.44,78.05,,75.61,79.27,78.05,,,78.66,82.32,,76.22,,64.02,83.54,82.93,78.66
humanevalexplaindescribe-python,python,Qwen2.5-Coder-7B,25.61,,,,,24.39,25.61,26.83,28.66,25.0,,25.0,28.66,29.27,,,25.61,24.39,,25.61,,25.0,27.44,25.61,24.39
humanevalexplaindescribe-python,python,Qwen2.5-Coder-7B-Instruct,72.56,,,,,70.73,71.95,70.73,71.34,72.56,,73.17,67.07,71.34,,,70.12,72.56,,71.95,,71.95,73.78,74.39,70.12
humanevalexplaindescribe-python,python,deepseek-coder-1.3b-instruct,50.0,,,,,45.12,48.78,49.39,45.12,50.61,,48.17,42.68,49.39,,,48.17,44.51,,47.56,,51.22,50.0,45.73,43.9
humanevalexplaindescribe-python,python,deepseek-coder-33b-instruct,64.63,,,,,65.24,64.63,65.24,64.02,64.63,,64.63,62.2,64.02,,,64.63,65.24,,62.2,,64.63,66.46,64.02,64.63
humanevalexplaindescribe-python,python,deepseek-coder-6.7b-instruct,62.8,,,,,56.1,62.2,65.24,62.2,64.63,,64.02,57.93,64.02,,,60.37,61.59,,63.41,,62.2,60.98,60.98,62.2
humanevalexplaindescribe-java,java,CodeQwen1.5-7B-Chat,67.68,64.63,64.63,65.24,67.68,67.07,67.68,,65.85,,68.29,,65.85,,65.24,63.41,64.63,,65.24,65.85,66.46,,,,
