model_name,baseline,camel_case-snake_case,camel_case-pascal_case,camel_case-screaming_snake_case,rparentheses_semicolon,period_name,lparentheses_rparentheses,lparentheses_name,rparentheses_rparentheses,period_asterisk,double_plus_rparentheses,rparentheses_period,op_semicolon,op_lparentheses,op_name,op_all
Llama-3.1-8B-Instruct,43.15,43.54,43.54,44.19,44.57,36.82,41.09,40.83,42.64,40.96,43.28,43.02,43.02,43.02,37.34,34.88
Llama-3.2-3B-Instruct,32.04,32.69,32.17,32.56,32.69,30.62,29.84,30.88,32.43,32.3,31.91,31.65,30.49,31.52,28.68,25.97
Llama-3.3-70B-Instruct,57.24,57.49,56.85,56.2,55.17,57.24,54.13,55.94,56.59,58.66,57.24,56.2,56.07,57.62,56.07,56.85
Qwen2.5-Coder-1.5B-Instruct,33.59,35.27,35.27,35.53,35.14,33.46,32.17,34.88,33.46,33.46,34.11,34.37,34.75,33.2,35.66,34.11
Qwen2.5-Coder-32B-Instruct,70.41,70.28,70.41,69.12,71.58,70.28,71.19,71.96,69.77,69.51,71.45,70.41,67.05,70.28,70.03,70.28
Qwen2.5-Coder-7B-Instruct,57.36,57.62,57.75,58.01,56.33,56.72,56.85,57.36,57.36,58.14,56.72,56.72,55.81,57.49,55.43,56.07
deepseek-coder-1.3b-instruct,38.5,37.98,39.02,38.37,37.34,37.34,37.86,36.43,37.47,36.95,38.63,37.34,38.63,37.98,35.4,33.98
deepseek-coder-33b-instruct,57.36,57.11,57.36,56.46,57.11,59.43,57.62,58.66,56.98,57.75,58.27,57.88,58.53,57.49,58.91,56.33
deepseek-coder-6.7b-instruct,58.01,57.36,58.14,56.33,57.11,55.43,57.11,57.49,58.27,56.59,57.49,58.66,55.94,58.53,55.04,53.1
average,49.74,49.93,50.06,49.64,49.67,48.59,48.65,49.38,49.44,49.37,49.90,49.58,48.92,49.68,48.06,46.84
