task_name,lang,model_name,camel_case-pascal_case,camel_case-screaming_snake_case,camel_case-snake_case,double_plus_rparentheses,lparentheses_name,lparentheses_rparentheses,lsquarebracket_name,op_all,op_dash,op_lparentheses,op_lsquarebracket,op_name,op_rsquarebracket,op_semicolon,period_asterisk,period_name,rparentheses_colon,rparentheses_period,rparentheses_rparentheses,rparentheses_semicolon,rsquarebracket_rparentheses,snake_case-camel_case,snake_case-pascal_case,snake_case-screaming_snake_case
humanevalexplaindescribe-python,python,CodeQwen1.5-7B-Chat,,,,,10.98,8.0,5.13,11.59,0.0,,12.9,12.2,10.0,,,10.61,13.29,,9.43,,8.0,17.56,15.27,15.27
humanevalexplaindescribe-python,python,Llama-3.1-8B-Instruct,,,,,11.59,12.0,11.54,12.8,13.64,,16.13,12.8,12.0,,,12.12,14.69,,9.43,,22.0,6.11,6.11,10.69
humanevalexplaindescribe-python,python,Llama-3.2-3B-Instruct,,,,,21.95,24.0,10.26,18.29,13.64,,16.13,15.24,16.0,,,18.18,16.08,,24.53,,20.0,13.74,19.08,19.85
humanevalexplaindescribe-python,python,Llama-3.3-70B-Instruct,,,,,16.46,20.0,14.1,21.34,18.18,,9.68,13.41,16.0,,,13.64,16.08,,11.32,,16.0,15.27,14.5,16.03
humanevalexplaindescribe-python,python,Qwen2.5-Coder-1.5B-Instruct,,,,,6.71,4.0,5.13,10.98,13.64,,9.68,7.32,8.0,,,10.61,7.69,,16.98,,6.0,3.82,9.16,16.79
humanevalexplaindescribe-python,python,Qwen2.5-Coder-32B-Instruct,,,,,14.02,60.0,8.97,14.63,13.64,,9.68,15.24,10.0,,,9.09,11.19,,7.55,,48.0,13.74,14.5,19.85
humanevalexplaindescribe-python,python,Qwen2.5-Coder-7B,,,,,8.54,8.0,10.26,11.59,4.55,,9.68,10.37,20.0,,,6.06,11.19,,7.55,,10.0,11.45,10.69,16.79
humanevalexplaindescribe-python,python,Qwen2.5-Coder-7B-Instruct,,,,,7.93,20.0,8.97,8.54,0.0,,3.23,16.46,4.0,,,18.18,6.99,,9.43,,2.0,7.63,5.34,9.16
humanevalexplaindescribe-python,python,deepseek-coder-1.3b-instruct,,,,,13.41,16.0,6.41,17.07,22.73,,9.68,15.85,10.0,,,22.73,17.48,,11.32,,8.0,22.9,22.14,19.85
humanevalexplaindescribe-python,python,deepseek-coder-33b-instruct,,,,,9.15,0.0,11.54,11.59,18.18,,6.45,9.76,6.0,,,15.15,9.09,,7.55,,12.0,14.5,14.5,15.27
humanevalexplaindescribe-python,python,deepseek-coder-6.7b-instruct,,,,,18.9,28.0,5.13,18.9,13.64,,12.9,17.07,12.0,,,18.18,13.99,,9.43,,18.0,16.03,14.5,16.03
humanevalexplaindescribe-java,java,CodeQwen1.5-7B-Chat,6.72,15.67,11.94,4.0,6.71,11.38,,11.59,,7.46,,9.15,,6.1,9.15,7.93,,9.52,10.48,6.11,,,,
humanevalexplaindescribe-java,java,Llama-3.1-8B-Instruct,11.94,17.91,14.18,8.0,15.24,9.76,,22.56,,13.43,,13.41,,15.85,16.46,20.73,,16.67,11.43,14.5,,,,
humanevalexplaindescribe-java,java,Llama-3.2-3B-Instruct,12.69,17.91,11.19,14.0,15.85,10.57,,14.02,,7.46,,15.85,,10.98,17.07,16.46,,7.14,8.57,12.21,,,,
humanevalexplaindescribe-java,java,Llama-3.3-70B-Instruct,14.18,15.67,14.93,10.0,7.93,13.82,,24.39,,16.42,,17.07,,13.41,13.41,14.02,,11.9,9.52,12.21,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-1.5B-Instruct,11.19,9.7,3.73,6.0,7.93,10.57,,6.71,,8.96,,10.37,,11.59,15.24,10.37,,14.29,6.67,7.63,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-32B-Instruct,5.97,16.42,8.21,6.0,4.27,3.25,,9.76,,7.46,,7.32,,22.56,4.27,5.49,,7.14,1.9,5.34,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-7B,6.72,11.94,9.7,10.0,10.37,11.38,,13.41,,4.48,,11.59,,8.54,10.37,13.41,,2.38,4.76,10.69,,,,
humanevalexplaindescribe-java,java,Qwen2.5-Coder-7B-Instruct,13.43,16.42,9.7,10.0,9.15,11.38,,13.41,,11.94,,15.24,,14.02,12.8,12.2,,11.9,8.57,9.92,,,,
humanevalexplaindescribe-java,java,deepseek-coder-1.3b-instruct,8.21,14.93,11.94,8.0,7.93,8.94,,15.85,,4.48,,12.2,,8.54,9.15,9.15,,14.29,5.71,9.16,,,,
humanevalexplaindescribe-java,java,deepseek-coder-33b-instruct,8.96,14.18,11.19,10.0,8.54,8.94,,13.41,,8.96,,10.37,,7.32,4.88,7.32,,9.52,6.67,11.45,,,,
humanevalexplaindescribe-java,java,deepseek-coder-6.7b-instruct,11.94,12.69,9.7,8.0,12.8,8.13,,11.59,,7.46,,12.8,,10.98,8.54,13.41,,7.14,8.57,8.4,,,,
humanevalfixtests-python,python,CodeQwen1.5-7B-Chat,,,,,3.66,4.17,2.56,6.71,0.0,,3.45,6.1,2.08,,,4.62,4.9,,6.25,,6.25,6.11,7.63,6.11
humanevalfixtests-python,python,Llama-3.1-8B-Instruct,,,,,14.02,8.33,6.41,17.68,4.55,,6.9,14.02,10.42,,,6.15,13.99,,12.5,,10.42,8.4,12.98,16.79
humanevalfixtests-python,python,Llama-3.2-3B-Instruct,,,,,12.2,16.67,6.41,16.46,13.64,,3.45,14.63,6.25,,,10.77,8.39,,8.33,,10.42,12.21,12.21,16.79
humanevalfixtests-python,python,Llama-3.3-70B-Instruct,,,,,8.54,8.33,6.41,12.2,9.09,,6.9,11.59,6.25,,,10.77,2.8,,2.08,,6.25,6.11,6.87,4.58
humanevalfixtests-python,python,Qwen2.5-Coder-1.5B-Instruct,,,,,4.27,0.0,0.0,10.98,0.0,,3.45,6.71,2.08,,,3.08,12.59,,8.33,,6.25,5.34,9.92,7.63
