model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,32,25,27,63,11,211,32,162,21,152,23,43,77,37,42,8,16,101,58,60,75,26,268,76
Llama-3.2-3B-Instruct,25,39,20,62,5,212,46,141,25,179,24,33,55,35,56,10,12,106,47,48,74,21,224,66
Llama-3.3-70B-Instruct,24,29,19,57,14,168,29,122,16,110,19,38,60,31,32,7,12,81,35,52,81,14,209,41
Qwen2.5-Coder-7B-Instruct,21,18,23,36,17,205,20,139,21,141,13,30,54,41,24,2,2,90,34,45,64,6,203,65
Qwen2.5-Coder-1.5B-Instruct,14,17,19,49,12,126,29,82,14,94,11,21,56,35,36,5,6,81,34,35,69,11,166,56
Qwen2.5-Coder-32B-Instruct,12,23,11,27,8,106,24,70,16,74,12,31,43,26,33,4,6,60,26,48,70,29,123,34
deepseek-coder-1.3b-instruct,22,40,12,46,11,169,47,118,7,125,23,26,45,22,42,9,13,93,54,45,53,14,207,50
deepseek-coder-6.7b-instruct,8,25,14,35,15,176,27,138,14,129,20,31,67,33,36,9,10,89,41,49,76,10,211,53
deepseek-coder-33b-instruct,23,28,11,21,10,122,32,75,19,97,15,28,50,26,38,8,9,59,32,49,51,12,146,41
CodeQwen1.5-7B-Chat,16,34,19,25,8,136,38,82,18,99,15,28,44,25,32,4,11,105,38,42,47,10,156,67
Qwen2.5-Coder-7B,29,18,11,30,4,131,19,82,16,81,25,19,38,13,27,4,9,63,41,23,42,13,146,44
