model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0,5,1,63,1,109,14,92,0,26,2,12,22,12,34,3,2,19,2,40,25,2,128,7
Llama-3.2-3B-Instruct,0,8,1,62,0,104,11,79,0,30,3,14,15,16,36,0,0,15,2,34,18,0,107,4
Llama-3.3-70B-Instruct,0,8,0,57,0,90,12,67,0,24,2,13,21,11,26,2,0,10,2,36,25,0,113,2
Qwen2.5-Coder-7B-Instruct,1,4,1,36,1,107,6,75,0,33,3,11,19,12,19,0,0,19,1,31,25,0,110,4
Qwen2.5-Coder-1.5B-Instruct,1,5,1,49,0,66,9,45,0,21,1,9,22,13,24,1,0,17,1,23,25,2,90,0
Qwen2.5-Coder-32B-Instruct,0,8,0,27,0,56,8,39,0,22,1,13,14,10,26,2,0,8,1,35,25,3,58,1
deepseek-coder-1.3b-instruct,1,13,5,46,1,102,28,69,0,38,2,7,2,9,41,0,2,52,4,41,4,2,125,8
deepseek-coder-6.7b-instruct,0,9,11,35,1,110,17,81,0,33,5,9,2,12,34,1,0,47,6,41,4,3,134,7
deepseek-coder-33b-instruct,2,10,7,21,1,71,20,37,1,28,2,11,1,16,34,0,2,37,2,44,4,5,85,9
CodeQwen1.5-7B-Chat,1,14,15,0,0,85,26,50,0,32,6,7,13,12,30,0,1,55,1,38,13,1,99,2
Qwen2.5-Coder-7B,0,5,0,30,0,70,8,44,0,18,1,4,9,4,18,1,2,16,3,14,11,1,78,1
