model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
Llama-3.2-3B-Instruct,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
Llama-3.3-70B-Instruct,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
Qwen2.5-Coder-7B-Instruct,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
Qwen2.5-Coder-1.5B-Instruct,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
Qwen2.5-Coder-32B-Instruct,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
deepseek-coder-1.3b-instruct,23,105,168,537,8,809,199,557,1,440,57,115,22,160,313,7,14,666,45,356,37,78,835,119
deepseek-coder-6.7b-instruct,23,105,168,537,8,809,199,557,1,440,57,115,22,160,313,7,14,666,45,356,37,78,835,119
deepseek-coder-33b-instruct,23,105,168,537,8,809,199,557,1,440,57,115,22,160,313,7,14,666,45,356,37,78,835,119
CodeQwen1.5-7B-Chat,20,127,168,0,6,837,204,582,0,414,63,124,183,148,322,5,30,586,25,368,191,78,852,44
Qwen2.5-Coder-7B,13,83,3,540,3,697,131,572,1,250,30,116,157,108,231,20,10,203,17,277,178,27,719,49
