model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,32,20,26,0,10,102,18,70,21,126,21,31,55,25,8,5,14,82,56,20,50,24,140,69
Llama-3.2-3B-Instruct,25,31,19,0,5,108,35,62,25,149,21,19,40,19,20,10,12,91,45,14,56,21,117,62
Llama-3.3-70B-Instruct,24,21,19,0,14,78,17,55,16,86,17,25,39,20,6,5,12,71,33,16,56,14,96,39
Qwen2.5-Coder-7B-Instruct,20,14,22,0,16,98,14,64,21,108,10,19,35,29,5,2,2,71,33,14,39,6,93,61
Qwen2.5-Coder-1.5B-Instruct,13,12,18,0,12,60,20,37,14,73,10,12,34,22,12,4,6,64,33,12,44,9,76,56
Qwen2.5-Coder-32B-Instruct,12,15,11,0,8,50,16,31,16,52,11,18,29,16,7,2,6,52,25,13,45,26,65,33
deepseek-coder-1.3b-instruct,21,27,7,0,10,67,19,49,7,87,21,19,43,13,1,9,11,41,50,4,49,12,82,42
deepseek-coder-6.7b-instruct,8,16,3,0,14,66,10,57,14,96,15,22,65,21,2,8,10,42,35,8,72,7,77,46
deepseek-coder-33b-instruct,21,18,4,0,9,51,12,38,18,69,13,17,49,10,4,8,7,22,30,5,47,7,61,32
CodeQwen1.5-7B-Chat,15,20,4,25,8,51,12,32,18,67,9,21,31,13,2,4,10,50,37,4,34,9,57,65
Qwen2.5-Coder-7B,29,13,11,0,4,61,11,38,16,63,24,15,29,9,9,3,7,47,38,9,31,12,68,43
