model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0,2,1,0,1,18,3,4,0,23,0,4,0,0,0,1,1,1,2,0,1,1,27,5
Llama-3.2-3B-Instruct,0,5,1,0,0,16,4,0,0,28,3,2,0,0,0,0,0,0,2,0,1,0,18,4
Llama-3.3-70B-Instruct,0,6,0,0,0,16,3,3,0,21,1,1,0,0,0,0,0,1,2,0,0,0,21,1
Qwen2.5-Coder-7B-Instruct,1,3,1,0,1,20,1,3,0,30,1,2,0,0,0,0,0,0,1,0,1,0,20,3
Qwen2.5-Coder-1.5B-Instruct,1,4,1,0,0,13,4,2,0,18,0,1,0,0,0,1,0,0,1,0,1,2,15,0
Qwen2.5-Coder-32B-Instruct,0,6,0,0,0,11,4,0,0,20,1,2,0,0,0,0,0,0,1,0,1,1,14,0
deepseek-coder-1.3b-instruct,1,1,0,0,1,11,0,2,0,11,0,5,2,0,0,0,1,0,4,0,3,1,15,1
deepseek-coder-6.7b-instruct,0,0,1,0,0,14,0,5,0,11,0,8,1,1,0,1,0,0,5,0,2,1,20,2
deepseek-coder-33b-instruct,2,1,0,0,0,8,3,2,0,8,0,8,0,1,0,0,0,0,1,0,2,2,11,3
CodeQwen1.5-7B-Chat,1,0,1,0,0,16,0,5,0,17,1,6,0,1,0,0,1,1,1,0,0,1,18,2
Qwen2.5-Coder-7B,0,2,0,0,0,16,0,4,0,13,0,0,0,0,0,0,2,0,3,0,0,1,18,1
