model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0,1,0,0,0,26,2,5,0,1,0,0,2,3,0,0,0,0,0,0,2,0,27,0
Llama-3.2-3B-Instruct,0,1,0,0,0,19,1,5,0,1,0,0,0,5,0,0,0,3,0,0,0,0,19,0
Llama-3.3-70B-Instruct,0,1,0,0,0,23,3,11,0,2,0,1,1,1,0,0,0,1,0,0,2,0,32,1
Qwen2.5-Coder-7B-Instruct,0,0,0,0,0,38,2,11,0,1,0,0,2,6,0,0,0,4,0,0,3,0,37,1
Qwen2.5-Coder-1.5B-Instruct,0,0,0,0,0,21,2,4,0,2,0,0,1,3,0,0,0,1,0,0,0,0,28,0
Qwen2.5-Coder-32B-Instruct,0,1,0,0,0,20,1,10,0,2,0,0,0,2,0,0,0,1,0,1,0,0,19,1
deepseek-coder-1.3b-instruct,0,3,0,0,0,28,5,16,0,3,1,2,0,1,1,0,0,2,0,2,1,0,30,6
deepseek-coder-6.7b-instruct,0,0,0,0,1,30,2,16,0,4,2,0,1,2,1,0,0,3,1,3,2,0,38,4
deepseek-coder-33b-instruct,0,0,0,0,1,19,2,7,1,3,1,2,0,4,1,0,1,2,1,7,2,0,34,5
CodeQwen1.5-7B-Chat,0,1,0,0,0,33,6,18,0,3,0,1,2,3,0,0,0,4,0,4,2,0,34,0
Qwen2.5-Coder-7B,0,1,0,0,0,15,3,4,0,3,0,0,0,3,0,0,0,4,0,0,0,0,21,0
