model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,0,2,0,63,0,65,9,83,0,2,2,8,20,9,34,2,1,18,0,40,22,1,74,2
Llama-3.2-3B-Instruct,0,2,0,62,0,69,6,74,0,1,0,12,15,11,36,0,0,12,0,34,17,0,70,0
Llama-3.3-70B-Instruct,0,1,0,57,0,51,6,53,0,1,1,11,20,10,26,2,0,8,0,36,23,0,60,0
Qwen2.5-Coder-7B-Instruct,0,1,0,36,0,49,3,61,0,2,2,9,17,6,19,0,0,15,0,31,21,0,53,0
Qwen2.5-Coder-1.5B-Instruct,0,1,0,49,0,32,3,39,0,1,1,8,21,10,24,0,0,16,0,23,24,0,47,0
Qwen2.5-Coder-32B-Instruct,0,1,0,27,0,25,3,29,0,0,0,11,14,8,26,2,0,7,0,34,24,2,25,0
deepseek-coder-1.3b-instruct,0,9,5,46,0,63,23,51,0,24,1,0,0,8,40,0,1,50,0,39,0,1,80,1
deepseek-coder-6.7b-instruct,0,9,10,35,0,66,15,60,0,18,3,1,0,9,33,0,0,44,0,38,0,2,76,1
deepseek-coder-33b-instruct,0,9,7,21,0,44,15,28,0,17,1,1,1,11,33,0,1,35,0,37,0,3,40,1
CodeQwen1.5-7B-Chat,0,13,14,0,0,36,20,27,0,12,5,0,11,8,30,0,0,50,0,34,11,0,47,0
Qwen2.5-Coder-7B,0,2,0,30,0,39,5,36,0,2,1,4,9,1,18,1,0,12,0,14,11,0,39,0
