model,lsquarebracket_name,snake_case-camel_case,op_lparentheses,period_asterisk,rparentheses_period,op_name,snake_case-pascal_case,period_name,double_plus_rparentheses,lparentheses_name,op_rsquarebracket,camel_case-snake_case,rparentheses_semicolon,camel_case-pascal_case,snake_case-screaming_snake_case,op_dash,op_lsquarebracket,lparentheses_rparentheses,rparentheses_colon,camel_case-screaming_snake_case,op_semicolon,rsquarebracket_rparentheses,op_all,rparentheses_rparentheses
Llama-3.1-8B-Instruct,7.98,7.69,9.03,0.00,5.43,12.07,8.49,10.00,5.00,9.79,8.17,10.80,10.00,8.47,7.14,5.32,9.66,8.35,9.82,15.87,8.39,11.11,16.93,7.32
Llama-3.2-3B-Instruct,6.23,11.92,6.60,0.00,2.72,12.78,16.51,8.86,5.95,11.58,8.17,6.62,7.27,6.44,17.86,10.64,8.28,9.27,7.89,11.11,9.40,9.72,14.15,6.57
Llama-3.3-70B-Instruct,5.99,8.08,6.60,0.00,7.61,9.23,8.02,7.86,3.81,6.68,6.61,8.71,7.09,6.78,5.36,5.32,8.28,7.23,5.79,12.70,9.40,6.48,11.61,4.14
Qwen2.5-Coder-7B-Instruct,4.99,5.38,7.64,0.00,8.70,11.60,6.60,9.14,5.00,8.39,3.89,6.62,6.36,9.83,4.46,2.13,1.38,7.23,5.79,11.11,6.54,2.78,11.25,6.47
Qwen2.5-Coder-1.5B-Instruct,3.24,4.62,6.25,0.00,6.52,7.10,9.43,5.29,3.33,5.67,3.89,4.18,6.18,7.46,10.71,4.26,4.14,6.52,5.79,9.52,7.38,4.17,9.19,5.94
Qwen2.5-Coder-32B-Instruct,2.99,5.77,3.82,0.00,4.35,5.92,7.55,4.43,3.81,4.04,4.28,6.27,5.27,5.42,6.25,2.13,4.14,5.30,4.39,10.32,7.55,12.04,7.86,3.50
deepseek-coder-1.3b-instruct,5.37,11.34,5.69,0.00,5.59,9.14,13.19,6.85,1.67,7.93,9.13,6.53,6.28,5.28,3.33,8.41,7.80,7.90,9.23,8.00,6.65,7.27,11.53,4.81
deepseek-coder-6.7b-instruct,2.05,6.72,2.44,0.00,7.82,9.00,6.94,7.97,3.33,8.75,6.52,7.56,9.49,8.54,6.67,7.48,7.09,8.09,6.46,16.00,9.77,4.24,10.83,5.27
deepseek-coder-33b-instruct,5.37,7.56,3.25,0.00,5.03,6.96,8.33,5.31,4.29,6.29,5.65,5.84,7.15,4.07,13.33,7.48,4.96,4.24,5.54,10.00,6.38,4.24,8.58,3.67
CodeQwen1.5-7B-Chat,3.81,9.26,3.25,4.55,4.42,7.23,8.63,4.64,4.28,5.97,4.02,7.45,5.92,5.04,9.52,3.67,8.00,8.35,6.58,10.53,5.83,5.45,8.21,6.86
Qwen2.5-Coder-7B,7.23,5.00,3.82,0.00,2.17,7.22,5.19,5.43,3.81,4.90,9.34,5.23,5.27,3.05,8.04,3.19,4.83,4.79,6.67,7.14,5.20,5.56,8.22,4.56
